param,value,kernel_size,n_blocks,dropout,n_filters,val_accuracy,val_macro_f1
n_filters,32.0,7,2,0.3,32,0.7808,0.767
n_filters,64.0,7,2,0.3,64,0.7724,0.7578
n_filters,128.0,7,2,0.3,128,0.81,0.7961
kernel_size,5.0,5,2,0.3,64,0.7996,0.7884
kernel_size,7.0,7,2,0.3,64,0.7724,0.7578
kernel_size,11.0,11,2,0.3,64,0.8017,0.7931
n_blocks,1.0,7,1,0.3,64,0.7453,0.7228
n_blocks,2.0,7,2,0.3,64,0.7724,0.7578
n_blocks,3.0,7,3,0.3,64,0.7787,0.7597
dropout,0.0,7,2,0.0,64,0.7891,0.7683
dropout,0.3,7,2,0.3,64,0.7724,0.7578
dropout,0.5,7,2,0.5,64,0.7829,0.7675
